,iteration,objective,outcome_rewards
198,198,0.009036519,-29.62124
199,199,0.017612878,-29.117079
200,200,0.02386237,-29.618675
201,201,0.02014774,-28.926342
202,202,0.015725888,-29.358421
203,203,0.017557545,-28.07973
204,204,0.02545806,-28.07036
205,205,0.013355843,-29.230194
206,206,0.017763346,-28.803467
207,207,0.021497581,-29.002335
208,208,0.022698145,-28.482307
209,209,0.013337168,-28.986046
210,210,0.0268193,-29.693764
211,211,0.025036298,-28.364613
212,212,0.0081207985,-29.485977
213,213,0.019757869,-29.053684
214,214,0.023742812,-29.037125
215,215,0.016497774,-28.342049
216,216,0.016126644,-28.450695
217,217,0.018775314,-28.75057
218,218,0.017941415,-28.595993
219,219,0.019541744,-28.075705
220,220,0.016879488,-29.005234
221,221,0.020285087,-28.866114
222,222,0.018659536,-28.45752
223,223,0.018527992,-29.043356
224,224,0.02097321,-28.771748
225,225,0.021053996,-28.8578
226,226,0.0068843313,-28.874733
227,227,0.022139113,-28.688942
228,228,0.022245986,-29.910275
229,229,0.021679495,-29.380877
230,230,0.018538382,-28.6856
231,231,0.005631196,-29.541925
232,232,0.023520969,-28.484997
233,233,0.022235803,-29.241608
234,234,0.020623181,-28.414276
235,235,0.019075956,-28.698776
236,236,0.023313943,-29.01918
237,237,0.015651789,-28.908943
238,238,0.019277168,-29.019825
239,239,0.019661872,-28.551895
240,240,0.020680068,-27.752914
241,241,0.019035894,-29.520662
242,242,0.022869844,-29.07433
243,243,0.019208986,-28.841213
244,244,0.025429767,-28.493282
245,245,0.017449195,-28.166658
246,246,0.020704105,-29.105352
247,247,0.01636068,-28.000446
248,248,0.020722449,-29.607204
249,249,0.014528729,-27.81815
250,250,0.027521135,-29.114971
251,251,0.019403867,-28.63723
252,252,0.018282544,-28.253557
253,253,0.02150791,-29.007355
254,254,0.018261813,-28.40875
255,255,0.021306379,-28.194305
256,256,0.021313135,-29.497221
257,257,0.020022543,-28.81615
258,258,0.02118175,-29.633085
259,259,0.0037071956,-29.414173
260,260,0.0141630955,-28.431503
261,261,0.023320902,-28.826649
262,262,0.017295282,-28.207756
263,263,0.018329775,-29.169018
264,264,0.0200622,-29.543926
265,265,0.01985753,-29.215534
266,266,0.015097739,-29.490446
267,267,0.021506868,-28.322823
268,268,0.022512577,-29.014544
269,269,0.021143485,-29.10138
270,270,0.018862542,-28.939072
271,271,0.022283727,-28.94115
272,272,0.018483577,-28.747437
273,273,0.020111836,-28.81175
274,274,0.022195969,-28.448784
275,275,0.018753817,-29.45645
276,276,0.022937924,-28.813078
277,277,0.015647613,-29.215816
278,278,0.012077443,-28.394257
279,279,0.018600479,-28.880276
280,280,0.026791442,-29.038364
281,281,0.013256343,-28.651493
282,282,0.01923831,-29.385609
283,283,0.025511742,-28.620605
284,284,0.019834079,-29.0515
285,285,0.015170472,-28.509275
286,286,0.017701317,-29.14188
287,287,0.014519763,-28.992847
288,288,0.024387736,-29.137333
289,289,0.010941901,-28.926151
290,290,0.024194503,-28.822414
291,291,0.012133237,-28.155201
292,292,0.021518871,-29.822643
293,293,0.019224837,-28.377184
294,294,0.017607747,-28.984222
295,295,0.018589461,-29.073343
296,296,0.022217723,-28.247606
297,297,0.015621955,-28.861443
298,298,0.025596015,-28.967705
299,299,0.0069975243,-28.784718
300,300,0.009450997,-28.481813
301,301,0.017760336,-29.35624
302,302,0.02098668,-28.50933
303,303,0.022497987,-29.308674
304,304,0.016557196,-28.893763
305,305,0.023578368,-28.41101
306,306,0.017023265,-29.593075
307,307,0.0225374,-29.74249
308,308,0.02113238,-27.797222
309,309,0.017990794,-29.465363
310,310,0.022524923,-28.76947
311,311,0.014325485,-28.60214
312,312,0.019925613,-28.954443
313,313,0.023109704,-29.018894
314,314,0.022840265,-28.60158
315,315,0.01791168,-28.895672
316,316,0.026589163,-29.1273
317,317,0.024377875,-30.17
318,318,0.023959726,-28.098347
319,319,0.01776731,-28.305288
320,320,0.021990236,-28.545391
321,321,0.018178899,-28.89295
322,322,0.022453865,-28.76273
323,323,0.018326849,-29.679558
324,324,0.011041811,-29.02937
325,325,0.023910899,-28.48571
326,326,0.023704335,-29.292294
327,327,0.01855148,-29.336323
328,328,0.019785013,-28.711016
329,329,0.01146568,-29.059135
330,330,0.02208129,-27.57743
331,331,0.02394421,-28.952108
332,332,0.022706747,-29.19913
333,333,0.023452837,-28.9807
334,334,0.020320795,-28.936203
335,335,0.019989777,-29.485163
336,336,0.024037682,-29.172192
337,337,0.023703247,-28.747478
338,338,0.022015875,-28.669094
339,339,0.024215978,-29.211388
340,340,0.01578423,-28.860264
341,341,0.021977738,-29.250603
342,342,0.013988487,-29.705093
343,343,0.01711446,-29.005512
344,344,0.0065594586,-28.335903
345,345,0.01732815,-28.543377
346,346,0.01168834,-29.653988
347,347,0.017203137,-28.881376
348,348,0.023093872,-28.591635
349,349,0.02065155,-30.070486
350,350,0.017996062,-28.7135
351,351,0.016813207,-28.798145
352,352,0.011826979,-29.186169
353,353,0.018095369,-28.618742
354,354,0.010475954,-27.370945
355,355,0.01743199,-29.35121
356,356,0.020554006,-28.612232
357,357,0.024316888,-28.767454
358,358,0.021834154,-28.694395
359,359,0.019301161,-28.977028
360,360,0.019974861,-27.950203
361,361,0.013588509,-28.663204
362,362,0.019908143,-28.737001
363,363,0.018691637,-28.91621
364,364,0.023844782,-28.892807
365,365,0.017731003,-28.460583
366,366,0.020786267,-29.070961
367,367,0.022311365,-29.538422
368,368,0.019176807,-29.489958
369,369,0.017686475,-28.472952
370,370,0.025685878,-29.405663
371,371,0.025025465,-29.184464
372,372,0.019858502,-29.085499
373,373,0.025357764,-29.709335
374,374,0.021835983,-28.75467
375,375,0.015612252,-28.162888
376,376,0.018674029,-28.49341
377,377,0.016963817,-28.138294
378,378,0.017011892,-28.911419
379,379,0.02362493,-29.016514
380,380,0.019546505,-29.176197
381,381,0.016041145,-28.772936
382,382,0.020479884,-28.755678
383,383,0.021363677,-29.422432
384,384,0.015716013,-28.913887
385,385,0.024002053,-29.536676
386,386,0.023788478,-28.848053
387,387,0.022826754,-28.952415
388,388,0.00984933,-28.96848
389,389,0.021212835,-28.492975
390,390,0.021541605,-29.222914
391,391,0.019365173,-29.047522
392,392,0.016037848,-28.039913
393,393,0.020509876,-28.377762
394,394,0.016846705,-29.398298
395,395,0.017452793,-29.371222
396,396,0.020822654,-29.55311
397,397,0.022022549,-28.35342
398,398,0.019804705,-29.466883
399,399,0.02003892,-27.93962
400,400,0.02043619,-29.433367
401,401,0.020927422,-28.830566
402,402,0.025132265,-28.933968
403,403,0.012082773,-29.894379
404,404,0.014567461,-28.788666
405,405,0.020043032,-29.57351
406,406,0.023504063,-28.724127
407,407,0.016541615,-29.012196
408,408,0.006560786,-28.635136
409,409,0.023036588,-29.423193
410,410,0.017356135,-28.554596
411,411,0.012222549,-28.477974
412,412,0.020980563,-29.201914
413,413,0.016272014,-29.355797
414,414,0.023816936,-29.648113
415,415,0.020283427,-29.123064
416,416,0.024379285,-29.11531
417,417,0.022343153,-29.002167
418,418,0.011218762,-28.969173
419,419,0.024303276,-29.597492
420,420,0.02148167,-28.714945
421,421,0.020172453,-29.43341
422,422,0.022552382,-28.839579
423,423,0.021142555,-28.761993
424,424,0.021529054,-29.742596
425,425,0.017843585,-28.378422
426,426,0.028635532,-28.93823
427,427,0.02318196,-29.619743
428,428,0.023909446,-29.098282
429,429,0.017035889,-29.536251
430,430,0.020137537,-29.13729
431,431,0.020183228,-29.351326
432,432,0.019906282,-29.32033
433,433,0.023769768,-29.512974
434,434,0.02414079,-29.376644
435,435,0.019992594,-28.642487
436,436,0.013537324,-27.90751
437,437,0.01609868,-28.70779
438,438,0.0179529,-27.972197
439,439,0.02267887,-29.011139
440,440,0.016603444,-28.848368
441,441,0.017672267,-29.976448
442,442,0.019204367,-28.662415
443,443,0.023539145,-29.378479
444,444,0.025521956,-29.09145
445,445,0.010306873,-28.342089
446,446,0.02191094,-29.337292
447,447,0.0053704884,-28.856333
448,448,0.014959382,-29.371593
449,449,0.016186308,-28.879093
450,450,0.017629376,-28.48539
451,451,0.019848786,-29.490036
452,452,0.015733296,-29.539026
453,453,0.006134098,-28.699696
454,454,0.010619429,-29.179852
455,455,0.021590687,-28.923409
456,456,0.022426547,-29.223763
457,457,0.022453036,-28.852997
458,458,0.026250565,-29.129034
459,459,0.016843423,-28.132874
460,460,0.01714749,-29.48357
461,461,0.018815506,-29.361979
462,462,0.019581147,-29.282742
463,463,0.021314098,-28.976383
464,464,0.01019149,-28.009459
465,465,0.024379522,-28.478424
466,466,0.018050788,-29.439304
467,467,0.02218531,-27.357279
468,468,0.019966565,-28.555061
469,469,0.022651598,-27.566483
470,470,0.023393016,-28.237934
471,471,0.023041938,-29.064175
472,472,0.0096610375,-29.201107
473,473,0.021342544,-28.748013
474,474,0.013016849,-29.416008
475,475,0.025739256,-28.581825
476,476,0.018581003,-29.578985
477,477,0.01920738,-28.98105
478,478,0.009427341,-29.097075
479,479,0.017354611,-28.817211
480,480,0.021135455,-28.060211
481,481,0.01803147,-29.835926
482,482,0.022816408,-29.187298
483,483,0.017510263,-28.387661
484,484,0.022464173,-29.24268
485,485,0.02398663,-30.347853
486,486,0.0072432216,-29.99642
487,487,0.021937706,-30.147955
488,488,0.021296252,-28.85442
489,489,0.016115023,-28.74427
490,490,0.024465596,-28.992926
491,491,0.010332229,-29.296782
492,492,0.006309224,-29.041218
493,493,0.0140475705,-28.930462
494,494,0.018316679,-29.299023
495,495,0.00057462696,-28.75335
496,496,0.023346454,-29.671204
497,497,0.020567555,-28.516352
498,498,0.018963398,-28.159756
499,499,0.022229018,-29.365519
500,500,0.026900757,-29.389862
501,501,0.014325642,-28.563156
502,502,0.019555422,-28.071095
503,503,0.0149404025,-29.13818
504,504,0.023476753,-29.668486
505,505,0.024762947,-29.67789
