,iteration,objective,outcome_rewards
0,0,0.0022418266,-12.542558
1,1,0.002255099,-14.369577
2,2,0.0017075024,-11.306992
3,3,0.0023858969,-9.136953
4,4,0.0033054256,-13.206615
5,5,0.0032700265,-13.13496
6,6,0.0030815406,-12.531582
7,7,0.0029709046,-11.934423
8,8,0.0029196874,-12.058676
9,9,0.0033989123,-11.894728
10,10,0.002954636,-12.506865
11,11,0.0046967966,-11.7465515
12,12,0.0042028516,-11.045561
13,13,0.0034150367,-10.52849
14,14,0.0047873626,-13.6735
15,15,0.0047788774,-11.493242
16,16,0.0053543495,-12.860557
17,17,0.0058891512,-12.183842
18,18,0.006019236,-10.505524
19,19,0.006124702,-14.075518
20,20,0.0067339586,-13.066286
21,21,0.010720783,-14.031828
22,22,0.0069437283,-14.386404
23,23,0.0077250083,-15.632552
24,24,0.00807947,-13.375792
25,25,0.007323739,-11.885281
26,26,0.009938836,-16.124233
27,27,0.009600176,-12.868766
28,28,0.0093883965,-14.24057
29,29,0.010058464,-13.212259
30,30,0.009220663,-12.290483
31,31,0.0074643455,-14.932463
32,32,0.011224458,-13.535533
33,33,0.009461353,-17.556736
34,34,0.009918848,-15.307577
35,35,0.01214922,-15.128574
36,36,0.011374345,-13.418884
37,37,0.009190964,-15.051586
38,38,0.011260431,-15.7196665
39,39,0.013057967,-16.695896
40,40,0.012318281,-14.97864
41,41,0.011365757,-17.002481
42,42,0.010542791,-13.51048
43,43,0.01224984,-16.132296
44,44,0.010350374,-14.163965
45,45,0.01055111,-18.01311
46,46,0.011871904,-13.4217205
47,47,0.011553843,-17.254333
48,48,0.0099142045,-15.984606
49,49,0.014346551,-15.178046
50,50,0.009796541,-15.990289
51,51,0.011302454,-16.7053
52,52,0.013032332,-16.518196
53,53,0.011968547,-15.759833
54,54,0.01021399,-16.023424
55,55,0.011100191,-18.174095
56,56,0.009200409,-14.36386
57,57,0.011938176,-16.838905
58,58,0.011343423,-16.78774
59,59,0.008584871,-16.045458
60,60,0.012227952,-14.227684
61,61,0.010966954,-14.330984
62,62,0.012398685,-15.296958
63,63,0.01201236,-14.56083
64,64,0.011124645,-14.448376
65,65,0.0111325355,-13.839784
66,66,0.010676082,-16.588081
67,67,0.008947119,-15.916723
68,68,0.009924588,-13.665644
69,69,0.010538894,-14.166044
70,70,0.010403784,-16.63714
71,71,0.00941201,-13.288107
72,72,0.009012887,-16.93759
73,73,0.00964262,-15.223702
74,74,0.011636519,-17.466602
75,75,0.008778838,-15.272517
76,76,0.00986965,-13.896166
77,77,0.010139346,-15.381163
78,78,0.010117825,-14.878015
79,79,0.009884967,-16.054434
80,80,0.009819809,-12.445517
81,81,0.011698331,-16.707151
82,82,0.008950829,-16.064548
83,83,0.010000013,-14.77589
84,84,0.008226989,-17.11673
85,85,0.009339048,-15.530283
86,86,0.009639679,-16.79447
87,87,0.0076777693,-16.029236
88,88,0.009734491,-18.019844
89,89,0.0097577805,-14.171597
90,90,0.009193491,-14.8421135
91,91,0.0082176365,-18.198061
92,92,0.010302474,-14.778694
93,93,0.007724041,-16.433403
94,94,0.00918523,-16.318668
95,95,0.0068189,-15.076942
96,96,0.008860648,-14.349035
97,97,0.010415614,-17.219303
98,98,0.010317553,-15.278468
99,99,0.008149413,-14.746714
100,100,0.007836562,-15.031263
101,101,0.008439022,-15.414289
102,102,0.009067876,-14.327072
103,103,0.00818766,-16.237186
104,104,0.008567194,-16.337688
105,105,0.008038165,-15.473663
106,106,0.007993243,-16.797241
107,107,0.005153342,-15.140724
108,108,0.0077199405,-16.149683
109,109,0.005634022,-15.496133
110,110,0.006135416,-16.219797
111,111,0.008580331,-14.776939
112,112,0.0071447752,-18.373276
113,113,0.0064473134,-15.3700485
114,114,0.0071226386,-15.670981
115,115,0.0067403726,-13.82064
116,116,0.007649754,-14.265629
117,117,0.007823756,-16.845867
118,118,0.0064620795,-15.138628
119,119,0.008850727,-15.222706
120,120,0.008922551,-14.919088
121,121,0.009393152,-14.102028
122,122,0.0064755296,-15.9165945
123,123,0.008784337,-15.776356
124,124,0.0061045596,-14.130449
125,125,0.0074892417,-16.33181
126,126,0.008446526,-16.259842
127,127,0.0074524707,-16.35656
128,128,0.0060721794,-16.584667
129,129,0.007452927,-16.766098
130,130,0.00930866,-15.203199
131,131,0.008203235,-13.35586
132,132,0.0063736574,-16.319813
133,133,0.006720019,-16.061127
134,134,0.007152248,-13.919556
135,135,0.0032333154,-18.558443
136,136,0.00800129,-14.627832
137,137,0.006051288,-16.592566
138,138,0.007444064,-15.618426
139,139,0.0059790206,-16.442682
140,140,0.007054429,-17.623919
141,141,0.008844555,-15.335646
142,142,0.006858518,-15.829629
143,143,0.006925971,-16.16353
144,144,0.0073294006,-16.039873
145,145,0.00802843,-17.11173
146,146,0.0068461057,-15.202733
147,147,0.006661292,-17.220219
148,148,0.008148465,-17.776766
149,149,0.0056109666,-17.134884
150,150,0.0057994104,-15.74268
151,151,0.006089398,-17.019287
152,152,0.0074861874,-16.24123
153,153,0.0071233716,-15.302706
154,154,0.009046872,-16.514456
155,155,0.006395323,-16.341599
156,156,0.007274352,-16.817913
157,157,0.00589604,-15.13171
158,158,0.0068488345,-15.14984
159,159,0.007834807,-13.989099
160,160,0.0063775834,-16.7486
161,161,0.007710114,-13.50911
162,162,0.0077284784,-13.7948475
163,163,0.0067634974,-15.030561
164,164,0.008002639,-15.12009
165,165,0.0072449893,-13.958235
166,166,0.00646541,-16.903442
167,167,0.00542143,-15.364592
168,168,0.005867975,-15.337597
169,169,0.008579968,-11.555659
170,170,0.006308436,-17.01273
171,171,0.007000568,-15.830654
172,172,0.0061066747,-16.349487
173,173,0.007999752,-15.199756
174,174,0.006968282,-17.20779
175,175,0.0059118485,-14.2489195
176,176,0.0049757008,-15.250462
177,177,0.0044572745,-14.382864
178,178,0.008221969,-13.314243
179,179,0.0066191405,-12.739517
180,180,0.0075961286,-16.832302
181,181,0.0065085967,-16.690624
182,182,0.0062830006,-14.671879
183,183,0.006545147,-15.6342
184,184,0.006850773,-18.712406
185,185,0.0066080913,-17.322758
186,186,0.005904842,-16.071165
187,187,0.0074535753,-14.283413
188,188,0.005777917,-15.963223
189,189,0.004904527,-16.613644
190,190,0.0068591554,-16.767467
191,191,0.005852819,-16.115551
192,192,0.00059239706,-15.678846
193,193,0.0059139715,-16.90274
194,194,0.006629479,-13.820503
195,195,0.0066858693,-16.018608
196,196,0.007354011,-15.823325
197,197,0.006862115,-15.9025135
198,198,0.0046177213,-14.988111
199,199,0.0050035594,-15.988947
