,iteration,objective,outcome_rewards
0,0,-0.18538745,-15.732887
1,1,-0.20188437,-14.73391
2,2,-0.24623182,-16.072645
3,3,-0.2552406,-16.75546
4,4,-0.15465248,-16.656084
5,5,-0.18629102,-16.278996
6,6,-0.15169013,-17.358543
7,7,-0.13419333,-16.831024
8,8,-0.10850215,-16.649113
9,9,-0.20055607,-17.057667
10,10,-0.14562811,-17.162792
11,11,-0.1157963,-17.334627
12,12,-0.13654804,-17.904121
13,13,-0.15027994,-17.298882
14,14,-0.10510851,-17.207855
15,15,-0.13313407,-17.267542
16,16,-0.11467111,-17.072098
17,17,-0.11628316,-17.184664
18,18,-0.10829313,-17.554398
19,19,-0.13281971,-16.855915
