,iteration,objective,outcome_rewards
0,0,-0.09177812,-28.508879
1,1,-0.055520564,-28.328587
2,2,-0.12940316,-28.581095
3,3,-0.06944497,-28.92318
4,4,-0.05967953,-28.859241
5,5,-0.07771984,-28.518927
6,6,-0.05294807,-29.280571
7,7,-0.15558149,-28.589384
8,8,-0.06785369,-28.634787
9,9,-0.063948244,-28.666208
10,10,-0.061441697,-28.808514
11,11,-0.07176079,-29.011621
12,12,-0.066981256,-29.303509
13,13,-0.06009344,-29.16697
14,14,-0.046738278,-28.693752
15,15,-0.09176973,-28.890667
16,16,-0.05308535,-28.918276
17,17,-0.060811237,-28.728325
18,18,-0.21842156,-28.823402
19,19,-0.042735647,-28.445263
